time_s,force_N
72.610000,-0.039400
72.703000,-0.037900
72.813000,-0.037600
72.906000,-0.036000
73.016000,-0.034500
73.110000,-0.033500
73.219000,-0.031800
73.313000,-0.029900
73.422000,-0.029100
73.516000,-0.027300
73.610000,-0.026100
73.719000,-0.024300
73.828000,-0.024100
73.922000,-0.022900
74.016000,-0.021600
74.125000,-0.020400
74.219000,-0.020200
74.313000,-0.018900
74.422000,-0.018600
74.516000,-0.017100
74.625000,-0.016100
74.719000,-0.014800
74.813000,-0.014700
74.922000,-0.014300
75.016000,-0.012800
75.125000,-0.011600
75.219000,-0.011000
75.328000,-0.010400
75.422000,-0.009000
75.516000,-0.007900
75.625000,-0.007000
75.719000,-0.006700
75.828000,-0.005900
75.922000,-0.005500
76.031000,-0.004000
76.125000,-0.003300
76.235000,-0.004000
76.328000,-0.002400
76.422000,-0.001400
76.531000,-0.001400
76.625000,-0.000800
76.735000,0.000300
76.828000,0.001900
76.922000,0.002100
77.016000,0.003500
77.125000,0.003600
77.235000,0.004300
77.328000,0.005400
77.422000,0.006000
77.531000,0.005400
77.625000,0.084700
77.735000,0.214200
77.828000,0.351700
77.938000,0.374500
78.031000,0.336800
78.125000,0.317200
78.235000,0.306200
78.328000,0.349900
78.422000,-0.078500
78.531000,-0.082800
78.625000,-0.077600
78.735000,-0.073900
78.828000,-0.070500
78.922000,-0.068200
79.031000,-0.065200
79.125000,-0.063200
79.235000,-0.060300
79.328000,-0.059000
79.422000,-0.057200
79.531000,-0.054800
79.625000,-0.052400
79.735000,-0.051600
79.844000,0.161100
79.938000,0.277500
80.031000,-0.073200
80.141000,-0.069200
80.235000,-0.065300
80.328000,-0.063500
80.438000,-0.061300
80.531000,-0.059300
80.641000,-0.056800
80.735000,-0.054900
80.828000,-0.052700
80.938000,-0.051800
81.031000,-0.049900
81.141000,0.186600
81.235000,-0.038200
81.344000,-0.059600
81.438000,-0.057400
81.531000,-0.054600
81.641000,-0.052000
81.735000,-0.050300
81.844000,0.145300
81.938000,0.287400
82.031000,0.270600
82.141000,0.285600
82.235000,0.233000
82.344000,0.199500
82.438000,0.210300
82.547000,0.199500
82.641000,0.233000
82.750000,-0.108300
82.844000,-0.100800
82.938000,-0.095100
83.031000,-0.090800
83.141000,-0.087400
83.235000,-0.083300
83.344000,-0.081100
83.438000,-0.079500
83.547000,-0.076500
83.641000,-0.073900
83.750000,-0.071400
83.844000,-0.068900
83.953000,-0.066500
84.047000,-0.065000
84.141000,-0.063000
84.250000,-0.060400
84.344000,-0.058300
84.438000,-0.056200
84.547000,-0.054600
84.641000,-0.052800
84.750000,-0.051400
84.844000,-0.049300
84.938000,-0.048200
85.047000,-0.046400
85.141000,-0.044500
85.250000,-0.042000
85.344000,-0.040900
85.453000,-0.039400
85.547000,-0.037800
85.656000,-0.036400
85.750000,-0.035300
85.860000,-0.035100
85.953000,-0.032000
86.047000,-0.031800
86.156000,-0.030100
86.250000,-0.029000
86.360000,-0.028100
86.453000,-0.025700
86.547000,-0.025500
86.641000,-0.024600
86.750000,-0.022600
86.844000,-0.021000
86.953000,-0.019900
87.047000,-0.019800
87.156000,-0.017900
87.250000,-0.016500
87.344000,-0.015400
87.453000,-0.013600
87.547000,-0.013500
87.656000,-0.012600
87.750000,-0.012600
87.860000,-0.011700
87.953000,-0.010400
88.063000,-0.009500
88.156000,-0.008000
88.250000,-0.008000
88.360000,-0.007600
88.453000,-0.006600
88.547000,-0.006200
88.656000,-0.006700
88.750000,-0.004000
88.860000,-0.003300
88.953000,-0.003300
89.047000,-0.002900
89.156000,-0.001800
89.250000,-0.000200
89.360000,0.000900
89.469000,0.002100
89.563000,0.003100
89.656000,0.003400
89.750000,0.003700
89.860000,0.004900
89.969000,0.006400
90.063000,0.005700
90.156000,0.007000
90.266000,0.008300
90.360000,0.007700
90.469000,0.008800
90.563000,0.009100
90.656000,0.008400
90.766000,0.009800
90.860000,0.010700
90.969000,0.010700
91.063000,0.011900
91.156000,0.011400
91.266000,0.012500
91.360000,0.013100
91.469000,0.013200
91.563000,0.015600
91.672000,0.015400
91.766000,0.015000
91.875000,0.015500
91.969000,0.017100
92.063000,0.017200
92.172000,0.018000
92.266000,0.018600
92.375000,0.019100
92.469000,0.019800
92.563000,0.020600
92.672000,0.020400
92.766000,0.020600
92.875000,0.022000
92.969000,0.021600
93.078000,0.022300
93.172000,0.022100
93.266000,0.021700
93.375000,0.023400
93.469000,0.023700
93.578000,0.023900
93.672000,0.023900
93.766000,0.023900
93.875000,0.025300
93.969000,0.025600
94.078000,0.026100
94.172000,0.025900
94.266000,0.027300
94.375000,0.027000
94.469000,0.027600
94.578000,0.028400
94.672000,0.028600
94.781000,0.028800
94.875000,0.028400
94.985000,0.029400
95.078000,0.029700
95.188000,0.030400
95.281000,0.030800
95.375000,0.031500
95.485000,0.031000
95.578000,0.030500
95.672000,0.032000
95.781000,0.030800
95.875000,0.032300
95.985000,0.032100
96.078000,0.031100
96.172000,0.032700
96.281000,0.031600
96.375000,0.032800
96.469000,0.033200
96.578000,0.032900
96.672000,0.034100
96.781000,0.033300
96.875000,0.034200
96.969000,0.035100
97.078000,0.035800
97.172000,0.035800
97.281000,0.036000
97.375000,0.036900
97.469000,0.037700
97.578000,0.037900
97.672000,0.038000
97.781000,0.038500
97.875000,0.038800
97.985000,0.039300
98.078000,0.040000
98.188000,0.040100
98.281000,0.039600
98.391000,0.040600
98.469000,0.040400
98.578000,0.042200
98.672000,0.041500
98.781000,0.042200
98.875000,0.041600
98.985000,0.042200
99.078000,0.042600
99.172000,0.042800
99.281000,0.042700
99.375000,0.043700
99.485000,0.043800
99.578000,0.044200
99.688000,0.044300
99.781000,0.045000
99.891000,0.046100
99.985000,0.045800
100.078000,0.045900
100.188000,0.046000
100.281000,0.047000
100.391000,0.047300
100.485000,0.047900
100.594000,0.048400
100.688000,0.048900
100.781000,0.048200
100.891000,0.048900
100.985000,0.050100
101.094000,0.049500
101.188000,0.050600
101.281000,0.050000
101.391000,0.050500
101.485000,0.051500
101.594000,0.052400
101.688000,0.052400
101.797000,0.052500
101.891000,0.053000
101.985000,0.052400
102.094000,0.053300
102.188000,0.053000
102.281000,0.053200
102.391000,0.053500
102.485000,0.054100
102.594000,0.053800
102.703000,0.054400
102.781000,0.054400
102.891000,0.054500
102.985000,0.054600
103.094000,0.055300
103.188000,0.054900
103.297000,0.054800
103.391000,0.055900
103.500000,0.055800
103.594000,0.055600
103.688000,0.056700
103.797000,0.056900
103.891000,0.058100
104.000000,0.057600
104.094000,0.058100
104.203000,0.058100
104.297000,0.058600
104.391000,0.058300
104.500000,0.059200
104.594000,0.059100
104.703000,0.059800
104.797000,0.060300
104.891000,0.060400
105.000000,0.059900
105.094000,0.059700
105.203000,0.060100
105.297000,0.060900
105.391000,0.061300
105.500000,0.061300
105.594000,0.062000
105.703000,0.063100
105.797000,0.062000
105.906000,0.062700
106.000000,0.063400
106.110000,0.063000
106.203000,0.063600
106.297000,0.063000
106.406000,0.063600
106.500000,0.064100
106.610000,0.063700
106.703000,0.065200
106.813000,0.065300
106.906000,0.065200
107.000000,0.065900
107.094000,0.065700
107.203000,0.065600
107.297000,0.065300
107.406000,0.066200
107.500000,0.066600
107.610000,0.066300
107.703000,0.067400
107.813000,0.067800
107.906000,0.068400
108.000000,0.067600
108.110000,0.068000
108.203000,0.068800
108.313000,0.068900
108.406000,0.069100
108.516000,0.069000
108.610000,0.069200
108.703000,0.069600
108.797000,0.070500
108.906000,0.070200
109.016000,0.069500
109.110000,0.070200
109.203000,0.069700
109.297000,0.069800
109.406000,0.070200
109.516000,0.070600
109.610000,0.069800
109.719000,0.071600
109.813000,0.072400
109.906000,0.071800
110.016000,0.072200
110.110000,0.072600
110.219000,0.072400
110.313000,0.073100
110.406000,0.073100
110.516000,0.073400
110.610000,0.073900
110.719000,0.073800
110.813000,0.073800
110.906000,0.073500
111.016000,0.074300
111.110000,0.075400
111.203000,0.075400
111.313000,0.074400
111.406000,0.075700
111.516000,0.074900
111.625000,0.074700
111.719000,0.076000
111.813000,0.075800
111.922000,0.076500
112.016000,0.075500
112.125000,0.076100
112.219000,0.076600
112.313000,0.077300
112.406000,0.077300
112.516000,0.077800
112.610000,0.077600
112.719000,0.079000
112.813000,0.078900
112.922000,0.078100
113.016000,0.078500
113.125000,0.079600
113.219000,0.078800
113.313000,0.079100
113.422000,0.079800
113.516000,0.078100
113.625000,0.077800
113.719000,0.078200
113.813000,0.077600
113.922000,0.078800
114.016000,0.078000
114.125000,0.078500
114.219000,0.078900
114.328000,0.080000
114.422000,0.080300
114.516000,0.081300
114.625000,0.081100
114.719000,0.081800
114.828000,0.080800
114.922000,0.080800
115.016000,0.081200
115.125000,0.080800
115.235000,0.080800
115.328000,0.080700
115.422000,0.079800
115.531000,0.080300
115.625000,0.081000
115.735000,0.079900
115.828000,0.080400
115.922000,0.081500
116.031000,0.080400
116.125000,0.080600
116.235000,0.080500
116.328000,0.081400
116.422000,0.081000
116.531000,0.081400
116.625000,0.081400
116.735000,0.080800
116.828000,0.082600
116.938000,0.081500
117.031000,0.082100
117.125000,0.083000
117.235000,0.083700
117.328000,0.084800
117.438000,0.085400
117.531000,0.085900
117.625000,0.084700
117.735000,0.085400
117.828000,0.085400
117.938000,0.085600
118.031000,0.085400
118.141000,0.085500
118.235000,0.085800
118.328000,0.085200
118.438000,0.085600
118.531000,0.084900
118.625000,0.084700
118.735000,0.085900
118.828000,0.085600
118.938000,0.086000
119.031000,0.086800
119.125000,0.086600
119.235000,0.087300
119.344000,0.087100
119.422000,0.086600
119.531000,0.086500
119.625000,0.087100
119.735000,0.087000
119.844000,0.087000
119.938000,0.087200
120.047000,0.086600
120.141000,0.087000
120.235000,0.086900
120.344000,0.086800
120.438000,0.086500
120.547000,0.087100
120.641000,0.086400
120.735000,0.086500
120.844000,0.087200
120.938000,0.087500
121.047000,0.088100
121.141000,0.087700
121.235000,0.087200
121.344000,0.088300
121.438000,0.087500
121.531000,0.088100
121.641000,0.087700
121.735000,0.087900
121.844000,0.087200
121.938000,0.088000
122.047000,0.088100
122.141000,0.088900
122.250000,0.087700
122.344000,0.088500
122.438000,0.087800
122.547000,0.087100
122.641000,0.088400
122.750000,0.088800
122.844000,0.088300
122.953000,0.087800
123.047000,0.087800
123.141000,0.088200
123.250000,0.087900
123.344000,0.088000
123.453000,0.087900
123.547000,0.088800
123.641000,0.088600
123.750000,0.088700
123.844000,0.088700
123.953000,0.089000
124.047000,0.088500
124.156000,0.089100
124.250000,0.089900
124.344000,0.089900
124.453000,0.089300
124.547000,0.089000
124.641000,0.089600
124.750000,0.089900
124.844000,0.089100
124.938000,0.088600
125.047000,0.089000
125.141000,0.089400
125.250000,0.089000
125.360000,0.089500
125.453000,0.090100
125.547000,0.089300
125.656000,0.090100
125.750000,0.090200
125.860000,0.089000
125.953000,0.089600
126.047000,0.089600
126.156000,0.089400
126.250000,0.090600
126.360000,0.090700
126.453000,0.089600
126.563000,0.090000
126.656000,0.090600
126.750000,0.090200
126.860000,0.090300
126.953000,0.090800
127.047000,0.090600
127.156000,0.091000
127.250000,0.090200
127.360000,0.091600
127.453000,0.090500
127.563000,0.090800
127.656000,0.090900
127.766000,0.090800
127.860000,0.090800
127.969000,0.090300
128.063000,0.090500
128.156000,0.090800
128.250000,0.091000
128.360000,0.091700
128.453000,0.091600
128.563000,0.091800
128.656000,0.091100
128.766000,0.092700
128.860000,0.091600
128.969000,0.092200
129.063000,0.092500
129.156000,0.092800
129.266000,0.091800
129.360000,0.091700
129.453000,0.092000
129.563000,0.092700
129.656000,0.092900
129.766000,0.091400
129.860000,0.091100
129.953000,0.091500
130.063000,0.091600
130.172000,0.091100
130.250000,0.091300
130.360000,0.092100
130.469000,0.091100
130.563000,0.090600
130.656000,0.091200
130.766000,0.090700
130.860000,0.091100
130.969000,0.090800
131.063000,0.090600
131.172000,0.091100
131.266000,0.089700
131.360000,0.090000
131.469000,0.090000
131.563000,0.089300
131.672000,0.089800
131.766000,0.090000
131.860000,0.090600
131.969000,0.090200
132.063000,0.090100
132.172000,0.090800
132.266000,0.090900
132.375000,0.090500
132.469000,0.090800
132.578000,0.090700
132.672000,0.090700
132.766000,0.091400
132.875000,0.091500
132.969000,0.091200
133.078000,0.090700
133.172000,0.091800
133.266000,0.091500
133.375000,0.092200
133.469000,0.092500
133.578000,0.092300
133.672000,0.092300
133.781000,0.093000
133.875000,0.092500
133.969000,0.092800
134.078000,0.093200
134.172000,0.092400
134.281000,0.093000
134.375000,0.093300
134.469000,0.092800
134.578000,0.093200
134.672000,0.092900
134.766000,0.093400
134.875000,0.093100
134.985000,0.093700
135.078000,0.093600
135.172000,0.094400
135.281000,0.094100
135.375000,0.093300
135.485000,0.093800
135.578000,0.093900
135.672000,0.094600
135.781000,0.094100
135.875000,0.094300
135.985000,0.094500
136.078000,0.093600
136.188000,0.095100
136.281000,0.095200
136.375000,0.094300
136.485000,0.094200
136.578000,0.094900
136.688000,0.094700
136.781000,0.095300
136.875000,0.095600
136.985000,0.095500
137.078000,0.095800
137.172000,0.095500
137.281000,0.095600
137.375000,0.095200
137.485000,0.094400
137.578000,0.095900
137.688000,0.096200
137.781000,0.095800
137.891000,0.095700
137.985000,0.096400
138.078000,0.096200
138.188000,0.096200
138.281000,0.097500
138.391000,0.095900
138.485000,0.095600
138.594000,0.096200
138.672000,0.096300
138.781000,0.096200
138.875000,0.095800
138.985000,0.095700
139.078000,0.096000
139.188000,0.095800
139.281000,0.095100
139.375000,0.095800
139.485000,0.095200
139.578000,0.095400
